#\begin{deluxetable}{lcc}
#\tabletypesize{\scriptsize}
#\tablecaption{Measured \HI\ terminal velocities, $v_{LSR}$, as a function of Galactic longitude, $l$, from the VGPS.  The third column gives the terminal velocities, $v_{mod}$, predicted by the rotation curve defined in Equation \ref{eq:rotfit}.
#\label{tab:termvels}}
#\tablewidth{0pt}
#\tablehead{\colhead{$l$ (deg)} & \colhead{$v_{LSR}$ (\kms)} & \colhead{$v_{mod}$ (\kms)}}
#\startdata
37.263   &   93.97    &    85.15 
37.328   &   93.98    &    84.99 
37.393   &   94.01    &    84.82 
37.458   &   94.01    &    84.66 
37.523   &   93.90    &    84.50 
37.587   &   93.90    &    84.33 
37.652   &   94.38    &    84.17 
37.717   &   94.38    &    84.01 
37.782   &   94.27    &    83.84 
37.847   &   93.94    &    83.68 
37.912   &   92.91    &    83.52 
37.977   &   92.91    &    83.35 
38.042   &   93.39    &    83.19 
38.108   &   93.39    &    83.02 
38.172   &   92.95    &    82.86 
38.238   &   92.95    &    82.70 
38.303   &   92.97    &    82.54 
38.368   &   92.97    &    82.37 
38.433   &   92.35    &    82.21 
38.498   &   92.35    &    82.05 
38.562   &   92.36    &    81.89 
38.628   &   92.36    &    81.73 
38.693   &   91.64    &    81.57 
38.758   &   91.22    &    81.40 
38.822   &   90.40    &    81.25 
38.888   &   89.35    &    81.08 
38.953   &   89.35    &    80.92 
39.018   &   89.35    &    80.76 
39.083   &   89.32    &    80.60 
39.148   &   89.34    &    80.44 
39.212   &   89.34    &    80.28 
39.277   &   89.34    &    80.12 
39.342   &   89.53    &    79.96 
39.407   &   89.23    &    79.80 
39.472   &   89.23    &    79.64 
39.537   &   88.72    &    79.48 
39.602   &   87.81    &    79.32 
39.667   &   87.04    &    79.16 
39.733   &   86.08    &    79.00 
39.797   &   85.66    &    78.84 
39.863   &   85.14    &    78.68 
39.928   &   84.88    &    78.52 
39.993   &   84.27    &    78.37 
40.058   &   83.54    &    78.21 
40.123   &   83.33    &    78.05 
40.188   &   81.94    &    77.89 
40.253   &   81.94    &    77.73 
40.318   &   83.06    &    77.57 
40.383   &   83.06    &    77.42 
40.447   &   81.90    &    77.26 
40.513   &   81.83    &    77.10 
40.578   &   81.71    &    76.94 
40.643   &   81.71    &    76.79 
40.708   &   81.71    &    76.63 
40.773   &   80.97    &    76.47 
40.837   &   80.67    &    76.32 
40.902   &   79.99    &    76.16 
40.967   &   79.95    &    76.01 
41.032   &   79.12    &    75.85 
41.097   &   77.97    &    75.70 
41.162   &   77.70    &    75.54 
41.227   &   77.28    &    75.38 
41.292   &   76.76    &    75.23 
41.358   &   76.62    &    75.07 
41.422   &   76.76    &    74.92 
41.488   &   76.01    &    74.76 
41.553   &   75.91    &    74.61 
41.618   &   75.36    &    74.45 
41.683   &   75.36    &    74.30 
41.748   &   75.85    &    74.14 
41.812   &   75.85    &    73.99 
41.878   &   75.83    &    73.83 
41.943   &   75.83    &    73.68 
42.008   &   75.64    &    73.53 
42.072   &   75.19    &    73.37 
42.138   &   75.01    &    73.22 
42.203   &   75.01    &    73.06 
42.268   &   75.91    &    72.91 
42.333   &   75.91    &    72.76 
42.398   &   75.71    &    72.61 
42.462   &   75.71    &    72.46 
42.527   &   75.71    &    72.30 
42.592   &   75.85    &    72.15 
42.657   &   76.68    &    72.00 
42.722   &   77.26    &    71.85 
42.787   &   77.26    &    71.69 
42.853   &   76.82    &    71.54 
42.917   &   76.82    &    71.39 
42.983   &   77.39    &    71.24 
43.047   &   77.39    &    71.09 
43.113   &   76.70    &    70.93 
43.178   &   75.80    &    70.78 
43.243   &   75.80    &    70.63 
43.308   &   76.10    &    70.48 
43.373   &   76.10    &    70.33 
43.438   &   76.10    &    70.18 
43.503   &   75.59    &    70.03 
43.568   &   74.94    &    69.88 
43.633   &   74.79    &    69.73 
43.697   &   74.79    &    69.58 
43.762   &   74.25    &    69.43 
43.827   &   73.67    &    69.28 
43.892   &   73.60    &    69.14 
43.957   &   73.60    &    68.99 
44.022   &   72.91    &    68.84 
44.087   &   72.22    &    68.69 
44.152   &   71.31    &    68.54 
44.217   &   71.31    &    68.39 
44.282   &   71.31    &    68.24 
44.347   &   71.34    &    68.10 
44.412   &   71.34    &    67.95 
44.478   &   71.34    &    67.80 
44.542   &   70.70    &    67.65 
44.608   &   70.70    &    67.50 
44.672   &   70.76    &    67.36 
44.738   &   71.21    &    67.21 
44.803   &   71.21    &    67.06 
44.868   &   71.18    &    66.92 
44.933   &   71.18    &    66.77 
44.998   &   71.36    &    66.62 
45.062   &   71.36    &    66.48 
45.128   &   71.25    &    66.33 
45.193   &   70.92    &    66.18 
45.258   &   70.92    &    66.04 
45.322   &   70.92    &    65.90 
45.387   &   70.87    &    65.75 
45.452   &   70.79    &    65.60 
45.517   &   70.47    &    65.46 
45.582   &   70.67    &    65.31 
45.647   &   70.67    &    65.17 
45.712   &   71.35    &    65.03 
45.777   &   71.52    &    64.88 
45.842   &   71.63    &    64.74 
45.907   &   71.52    &    64.59 
45.972   &   71.44    &    64.45 
46.037   &   71.44    &    64.31 
46.103   &   71.55    &    64.16 
46.167   &   71.55    &    64.02 
46.233   &   71.39    &    63.87 
46.297   &   71.39    &    63.73 
46.363   &   71.31    &    63.59 
46.428   &   71.31    &    63.44 
46.493   &   71.17    &    63.30 
46.558   &   70.95    &    63.16 
46.623   &   70.77    &    63.02 
46.688   &   69.85    &    62.88 
46.753   &   69.78    &    62.73 
46.817   &   69.25    &    62.59 
46.883   &   69.25    &    62.45 
46.947   &   69.67    &    62.31 
47.012   &   69.70    &    62.17 
47.077   &   69.70    &    62.03 
47.142   &   69.55    &    61.89 
47.207   &   69.55    &    61.75 
47.272   &   69.80    &    61.61 
47.337   &   69.97    &    61.47 
47.402   &   69.97    &    61.33 
47.467   &   69.97    &    61.19 
47.532   &   69.58    &    61.05 
47.598   &   68.96    &    60.90 
47.662   &   68.96    &    60.77 
47.728   &   69.64    &    60.63 
47.792   &   70.14    &    60.49 
47.858   &   70.14    &    60.35 
47.922   &   70.14    &    60.21 
47.988   &   70.14    &    60.07 
48.053   &   69.97    &    59.93 
48.118   &   69.37    &    59.79 
48.183   &   69.37    &    59.66 
48.248   &   69.70    &    59.52 
48.312   &   69.70    &    59.38 
48.378   &   69.27    &    59.24 
48.442   &   68.41    &    59.11 
48.508   &   68.40    &    58.97 
48.572   &   68.40    &    58.83 
48.637   &   68.43    &    58.70 
48.702   &   68.90    &    58.56 
48.767   &   69.10    &    58.42 
48.832   &   70.11    &    58.29 
48.897   &   70.21    &    58.15 
48.962   &   70.94    &    58.02 
49.027   &   70.94    &    57.88 
49.092   &   71.17    &    57.74 
49.157   &   71.17    &    57.61 
49.223   &   71.17    &    57.47 
49.287   &   68.65    &    57.34 
49.353   &   68.17    &    57.20 
49.417   &   68.01    &    57.07 
49.483   &   68.01    &    56.93 
49.547   &   66.74    &    56.80 
49.613   &   68.18    &    56.66 
49.678   &   68.18    &    56.53 
49.743   &   69.02    &    56.40 
49.808   &   69.17    &    56.26 
49.873   &   69.17    &    56.13 
49.938   &   69.17    &    56.00 
50.003   &   69.75    &    55.86 
50.067   &   69.81    &    55.73 
50.133   &   69.89    &    55.60 
50.197   &   69.94    &    55.47 
50.262   &   69.94    &    55.33 
50.327   &   69.85    &    55.20 
50.392   &   69.85    &    55.07 
50.457   &   68.39    &    54.94 
50.522   &   67.92    &    54.81 
50.587   &   67.65    &    54.68 
50.652   &   67.65    &    54.54 
50.717   &   67.65    &    54.41 
50.782   &   69.15    &    54.28 
50.848   &   69.17    &    54.15 
